#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-07-15 09:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-07-15 09:00:02 UTC


綜藝,#genre#
[BD]cctv3,https://t.freetv.fun/live/cctv3.m3u8
[BD]cctv3,https://t.freetv.fun/live/cctv3-2.m3u8
[SD]cctv3,https://t.freetv.fun/live/cctv3-6.m3u8
[BD]cctv3,https://t.freetv.fun/live/cctv3-12.m3u8
[BD]cctv3,https://t.freetv.fun/live/cctv3-7.m3u8
[BD]cctv3,https://t.freetv.fun/live/cctv3-4.m3u8
[HD]cctv3,https://t.freetv.fun/live/cctv3-5.php
[SD]cctv3,https://t.freetv.fun/live/cctv3-8.m3u8
[BD]cctv3,https://t.freetv.fun/live/cctv3-10.m3u8
[HD]cctv3综艺,https://t.freetv.fun/live/cctv3zong-yi.m3u8
[HD]cctv3综艺,https://t.freetv.fun/live/cctv3zong-yi-1.m3u8
[BD]cctv-3,https://t.freetv.fun/live/cctv-3-3.m3u8
[BD]cctv-3hd,https://t.freetv.fun/live/cctv-3hd-2.m3u8
[HD]cctv-3hd,https://t.freetv.fun/live/cctv-3hd-3.m3u8
[SD]吉林综艺文化,https://t.freetv.fun/live/ji-lin-zong-yi-wen-hua-1.m3u8
[SD]吉林综艺文化,https://t.freetv.fun/live/ji-lin-zong-yi-wen-hua-2.m3u8
[VGA]哈尔滨娱乐,https://t.freetv.fun/live/ha-er-bin-yu-le-1.m3u8
[BD]安徽综艺体育,https://t.freetv.fun/live/an-hui-zong-yi-ti-yu.m3u8
[VGA]安徽综艺体育,https://t.freetv.fun/live/an-hui-zong-yi-ti-yu-1.m3u8
[BD]广西综艺旅游,https://t.freetv.fun/live/yan-xi-zong-yi-lu-you-1.m3u8
[BD]广西综艺旅游,https://t.freetv.fun/live/yan-xi-zong-yi-lu-you-2.m3u8
[BD]广西综艺旅游,https://t.freetv.fun/live/yan-xi-zong-yi-lu-you-3.m3u8
[VGA]江苏综艺,https://t.freetv.fun/live/jiang-su-zong-yi-1.m3u8
[VGA]湖南娱乐,https://t.freetv.fun/live/hu-nan-yu-le.m3u8
[HD]湖南娱乐,https://t.freetv.fun/live/hu-nan-yu-le-1.m3u8
[HD]湖南娱乐,https://t.freetv.fun/live/hu-nan-yu-le-2.m3u8
[HD]湖南娱乐,https://t.freetv.fun/live/hu-nan-yu-le-3.m3u8
綜合,#genre#
[HD]cctv-8k超高清,https://t.freetv.fun/live/cctv-8kchao-gao-qing-1.m3u8
[BD]cctv-8hd,https://t.freetv.fun/live/cctv-8hd-1.m3u8
[HD]cctv-8hd,https://t.freetv.fun/live/cctv-8hd-2.m3u8
[HD]cctv-8k超高清,https://t.freetv.fun/live/cctv-8kchao-gao-qing-2.m3u8
[HD]cctv-8hd,https://t.freetv.fun/live/cctv-8hd-3.m3u8
[HD]cctv-8k超高清,https://t.freetv.fun/live/cctv-8kchao-gao-qing-3.m3u8
[SD]cctv1,https://t.freetv.fun/live/cctv1-1.m3u8
[SD]cctv1,https://t.freetv.fun/live/cctv1-6.m3u8
[BD]cctv1,https://t.freetv.fun/live/cctv1.m3u8
[SD]cctv1,https://t.freetv.fun/live/cctv1-5.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-1.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-2.php
[BD]cctv12,https://t.freetv.fun/live/cctv12-3.m3u8
[SD]cctv12,https://t.freetv.fun/live/cctv12-7.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-10.m3u8
[SD]cctv12,https://t.freetv.fun/live/cctv12.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-8.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-12.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-4.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-5.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-6.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-9.m3u8
[BD]cctv12,https://t.freetv.fun/live/cctv12-11.m3u8
[HD]cctv-12hd,https://t.freetv.fun/live/cctv-12hd-1.m3u8
[BD]cctv-12hd,https://t.freetv.fun/live/cctv-12hd-2.m3u8
[HD]cctv-12hd,https://t.freetv.fun/live/cctv-12hd-3.m3u8
[BD]cctv-4k高清,https://t.freetv.fun/live/cctv-4kgao-qing-5.m3u8
[BD]cctv-4k高清,https://t.freetv.fun/live/cctv-4kgao-qing-6.m3u8
[SD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-3.m3u8
[HD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-4.m3u8
[SD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-5.m3u8
[SD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-6.m3u8
[SD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-7.m3u8
[BD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-9.m3u8
[BD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-10.m3u8
[BD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-11.m3u8
[HD]cctv4中文国际,https://t.freetv.fun/live/cctv4zhong-wen-guo-ji.m3u8
[HD]cctv4中文国际,https://t.freetv.fun/live/cctv4zhong-wen-guo-ji-1.m3u8
[HD]cctv-4 中文国际,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji.m3u8
[BD]cctv-4 中文国际,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-6.m3u8
[BD]cctv-4 中文国际,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-7.m3u8
[BD]cctv-4 中文国际,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-8.m3u8
[BD]cgtn-español,https://t.freetv.fun/live/cgtn-espanol.m3u8
[BD]cgtn français,https://t.freetv.fun/live/cgtn-francais.m3u8
[VGA]cgtn français,https://t.freetv.fun/live/cgtn-francais-2.m3u8
[BD]cgtn русский,https://t.freetv.fun/live/cgtn-russkii-1.m3u8
[SD]上海都市,https://t.freetv.fun/live/shang-hai-du-shi.m3u8
[SD]上海都市,https://t.freetv.fun/live/shang-hai-du-shi-1.m3u8
[HD]上海都市,https://t.freetv.fun/live/shang-hai-du-shi-2.m3u8
[BD]上虞新商都,https://t.freetv.fun/live/shang-yu-xin-shang-du.m3u8
[BD]上虞新商都,https://t.freetv.fun/live/shang-yu-xin-shang-du-1.m3u8
[VGA]上虞新商都,https://t.freetv.fun/live/shang-yu-xin-shang-du-2.m3u8
[HD]内江科教生活,https://t.freetv.fun/live/nei-jiang-ke-jiao-sheng-huo.m3u8
[VGA]内江综合,https://t.freetv.fun/live/nei-jiang-zong-he-1.m3u8
[BD]内江资中综合,https://t.freetv.fun/live/nei-jiang-zi-zhong-zong-he.m3u8
[HD]内江新闻,rtmp://njzb.scnj.tv:1938/live/xwzh_xwzh800
[BD]内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-2.m3u8
[BD]内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-4.m3u8
